,building,date,0,1,2,3,4,5,company
2,Leonard Pointe,04-06-22,0,0,0,,,,UDR
3,21 Chelsea,04-06-22,1,11,0,,,0.0,UDR
4,95 Wall,04-06-22,23,3,3,0.0,,,UDR
5,View 34,04-06-22,3,58,10,10.0,,,UDR
0,10 Hanover Square,04-09-22,21,9,0,0.0,,,UDR
1,Legacy Village,04-09-22,8,64,20,0.0,,,UDR
2,The Domain,04-09-22,0,17,6,,,,UDR
3,Savoye,04-09-22,0,41,21,,,,UDR
4,Columbus Square,04-09-22,15,24,10,0.0,0.0,,UDR
5,95 Wall,04-09-22,23,3,3,0.0,,,UDR
6,View 34,04-09-22,4,59,11,10.0,,,UDR
7,Leonard Pointe,04-09-22,0,0,0,,,,UDR
8,The Park,04-09-22,6,50,14,0.0,,,UDR
9,21 Chelsea,04-09-22,0,15,0,,,0.0,UDR
10,Vitruvian West,04-09-22,66,184,121,2.0,,,UDR
0,Leonard Pointe,04-10-22,0,0,0,,,,UDR
1,10 Hanover Square,04-10-22,21,9,0,0.0,,,UDR
2,95 Wall,04-10-22,23,3,3,0.0,,,UDR
3,Savoye,04-10-22,0,41,21,,,,UDR
4,Columbus Square,04-10-22,15,24,10,0.0,0.0,,UDR
5,The Domain,04-10-22,0,17,6,,,,UDR
6,21 Chelsea,04-10-22,0,15,0,,,0.0,UDR
7,Vitruvian West,04-10-22,66,184,121,2.0,,,UDR
8,Legacy Village,04-10-22,8,64,20,0.0,,,UDR
9,The Park,04-10-22,6,50,14,0.0,,,UDR
10,View 34,04-10-22,4,59,11,10.0,,,UDR
0,The Park,04-13-22,4,50,14,0.0,,,UDR
1,Vitruvian West,04-13-22,66,179,120,0.0,,,UDR
2,21 Chelsea,04-13-22,1,13,0,,,0.0,UDR
3,Savoye,04-13-22,0,41,20,,,,UDR
4,Columbus Square,04-13-22,14,19,11,0.0,0.0,,UDR
5,10 Hanover Square,04-13-22,19,7,0,0.0,,,UDR
6,Legacy Village,04-13-22,6,65,19,0.0,,,UDR
7,The Domain,04-13-22,0,14,6,,,,UDR
8,95 Wall,04-13-22,21,3,3,0.0,,,UDR
9,View 34,04-13-22,4,61,10,10.0,,,UDR
10,Leonard Pointe,04-13-22,0,0,0,,,,UDR
0,100 Pier 4,04-14-22,2,13,4,0.0,,,UDR
1,The Park,04-14-22,4,47,14,0.0,,,UDR
2,345 Harrison,04-14-22,8,24,4,3.0,,,UDR
3,Savoye,04-14-22,0,42,18,,,,UDR
4,21 Chelsea,04-14-22,1,13,0,,,0.0,UDR
5,The Domain,04-14-22,0,14,6,,,,UDR
6,10 Hanover Square,04-14-22,18,7,0,0.0,,,UDR
7,Vitruvian West,04-14-22,64,175,120,1.0,,,UDR
8,View 34,04-14-22,4,56,10,9.0,,,UDR
9,Park Square,04-14-22,1,21,14,1.0,,,UDR
10,Currents on the Charles,04-14-22,2,10,8,0.0,,,UDR
11,Columbus Square,04-14-22,14,20,11,0.0,0.0,,UDR
12,Leonard Pointe,04-14-22,0,0,0,,,,UDR
13,322 On North Board,04-14-22,1,19,15,3.0,,,UDR
14,95 Wall,04-14-22,22,3,3,0.0,,,UDR
15,Legacy Village,04-14-22,6,62,20,0.0,,,UDR
