,date,unitName,sqrFt,price,availableDate,bdr,bthr,flr,features,apt_views,hasSpecial
130,02-06-22,Apartment 703,495,3644,2/10/2022,0,1,7,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
131,02-06-22,Apartment 817,475,3559,2/17/2022,0,1,8,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",17,0
132,02-06-22,Apartment 1115,487,3579,3/4/2022,0,1,11,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",13,0
133,02-06-22,Apartment 1717,480,3579,3/4/2022,0,1,17,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
134,02-06-22,Apartment 2019,616,3807,3/4/2022,0,1,20,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",16,0
135,02-06-22,Apartment 721,557,3742,3/4/2022,0,1,7,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",17,0
136,02-06-22,Apartment 1708,575,3911,3/9/2022,0,1,17,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",0,0
137,02-06-22,Apartment 1501,551,3856,3/10/2022,0,1,15,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
138,02-06-22,Apartment 725,623,3831,3/18/2022,0,1,7,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",11,0
139,02-06-22,Apartment 2320,470,3819,3/31/2022,0,1,23 - Top Floor,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",11,0
140,02-06-22,Apartment 2325,425,3779,4/1/2022,0,1,23 - Top Floor,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",11,0
141,02-06-22,Apartment 2120,470,3804,4/21/2022,0,1,21,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
142,02-06-22,Apartment 1216,487,3824,4/28/2022,0,1,12,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",8,0
143,02-06-22,Apartment 1522,947,5906,Now,1,1,15,"East River view
Corner location
Stackable washer and dryer",54,0
144,02-06-22,Apartment 224,886,4598,Now,1,1,2,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",40,0
145,02-06-22,Apartment 406,674,4591,Now,1,1,4,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",26,0
146,02-06-22,Apartment 923,818,4681,Now,1,1,9,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",26,0
